epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53433,2.89072,4.63426,1.57332,0.00749,0.49412,0.12749,0.04793,2.25995,3.38497,1.21912,0.08911,0.00011,0.00011
2,7.86059,1.91908,1.81562,1.12524,0.0057,0.45,0.3631,0.17103,1.88946,3.08311,1.12265,0.0772277,0.000227723,0.000227723
3,10.5888,1.61819,1.30516,1.041,0.37083,0.39265,0.39718,0.15046,2.18279,3.44393,1.18529,0.0653431,0.00034307,0.00034307
4,13.3728,1.44577,1.01478,0.98567,0.46319,0.33309,0.40313,0.23914,1.44538,3.44265,0.9402,0.053456,0.000456041,0.000456041
5,16.227,1.35347,0.93809,0.95288,0.28731,0.47279,0.46943,0.27584,1.27207,2.80388,0.88747,0.0415666,0.000566636,0.000566636
6,19.1077,1.28395,0.87568,0.95754,0.46568,0.43897,0.46418,0.29048,1.29441,3.05528,0.90557,0.0296749,0.000674855,0.000674855
7,21.927,1.28694,0.86709,0.93831,0.42829,0.4875,0.48989,0.32198,1.3228,2.33203,0.91915,0.0177807,0.000780698,0.000780698
8,24.8114,1.40195,0.86248,0.93418,0.38934,0.49412,0.48807,0.33393,1.1637,2.31056,0.87951,0.00588417,0.000884165,0.000884165
9,27.6291,1.22362,0.79433,0.93792,0.49844,0.46882,0.4973,0.36138,1.08788,1.28138,0.8604,0.0009208,0.0009208,0.0009208
10,30.4457,1.27117,0.83367,0.9194,0.49824,0.48162,0.49712,0.34635,1.2188,0.93402,0.89881,0.0009109,0.0009109,0.0009109
11,33.3643,1.22835,0.75644,0.91249,0.49399,0.48384,0.49685,0.37148,1.00902,0.95459,0.83959,0.000901,0.000901,0.000901
12,36.247,1.23809,0.72202,0.9331,0.49699,0.49118,0.49729,0.25124,1.77093,0.75856,1.04401,0.0008911,0.0008911,0.0008911
13,39.4285,1.24387,0.69686,0.92368,0.49705,0.49525,0.49745,0.35907,1.0555,0.67881,0.84632,0.0008812,0.0008812,0.0008812
14,42.5085,1.18778,0.70906,0.90969,0.99873,0.49412,0.49738,0.27268,1.57393,0.73339,0.98488,0.0008713,0.0008713,0.0008713
15,45.5667,1.12925,0.68682,0.89618,0.99432,0.49338,0.49731,0.36863,1.02067,0.67355,0.84305,0.0008614,0.0008614,0.0008614
